Epoch,Train Loss,Val Loss,Val Acc,Time
1,1.2742115600207418,0.9708150427341461,0.7421424993739043,932.3537683486938
2,0.9054745566803974,0.9070651684403419,0.758076634109692,962.3956270217896
3,0.8310889290370482,0.8616285980343819,0.7687828700225394,978.559178352356
4,0.7881490376192269,0.8270716252326965,0.7745429501627848,970.4691305160522
5,0.75407583033506,0.819621050298214,0.7784560480841473,972.6797022819519
6,0.7304030332675914,0.8264767858982086,0.776358627598297,903.1006646156311
7,0.7032750392799935,0.8106357154250144,0.7821187077385424,897.4140431880951
8,0.691421036714131,0.8021576999723912,0.7843413473578763,894.1485657691956
9,0.6709225299636933,0.7954418748319149,0.7852491860756323,896.4620802402496
10,0.657159336192911,0.7786209201216697,0.7894440270473329,895.8275682926178
11,0.6392827292078549,0.7737458058595658,0.7909153518657651,897.6598324775696
12,0.6286113992896686,0.7824997152090073,0.7889431505133985,932.0075576305389
13,0.6143364269299196,0.7756931555867195,0.7932319058352116,818.5985918045044
14,0.6089099086949096,0.7699450275152921,0.7953606311044328,826.2287187576294
15,0.5896518337460318,0.7747868504524231,0.7909779614325069,823.2334547042847
16,0.5863263029413125,0.7712824654579162,0.7930753819183571,809.2502760887146
17,0.5756477711024562,0.761534723341465,0.7951414976208364,813.9989342689514
18,0.5646001539381919,0.7867013790607452,0.7885674931129476,806.636207818985
19,0.5566250985533101,0.7690492375791073,0.7932006010518408,809.2663071155548
20,0.550461794246513,0.7475321097671985,0.8022789882294015,808.9886722564697
21,0.5436867548735281,0.7625228101015091,0.794953668920611,814.019877910614
22,0.5371873757171467,0.7449669941067696,0.8003693964437766,811.1818342208862
23,0.5278199193711134,0.7490840450227261,0.8015589782118707,808.4841961860657
24,0.5214905295892269,0.777498225927353,0.7900701227147509,802.067976474762
25,0.5139077265596471,0.7655601167082786,0.7993676433759078,808.6927058696747
26,0.509331416223467,0.763036795526743,0.7969571750563486,806.9377601146698
27,0.5033276723985819,0.7699915197491646,0.7956423741547709,819.6554601192474
28,0.4992902064087874,0.7669381360262633,0.7971763085399449,803.650639295578
29,0.4918898213462731,0.7645052314400673,0.7988041572752317,808.5480239391327
30,0.48498173160446467,0.7490245004594326,0.8024668169296268,809.9031805992126
31,0.48124251706698506,0.7516438196897507,0.7990232907588279,809.5193376541138
32,0.47862227645116984,0.7569775663018227,0.7991172051089407,809.6329400539398
33,0.47433492182865994,0.7529165789484977,0.8028737791134485,808.9313616752625
34,0.46851452235196467,0.7419383173286915,0.806129476584022,809.6884136199951
35,0.4581046197627418,0.7337939629256726,0.8060042574505385,808.7432222366333
36,0.4597109020063558,0.7577523895204067,0.7987415477084898,808.7165286540985
37,0.4530102377597409,0.7537810089290142,0.7979589281242174,808.2826781272888
38,0.4494623700572863,0.7597236590385437,0.8032494365138994,808.9271664619446
39,0.4434006550570124,0.7360080836117268,0.808007763586276,809.0302731990814
40,0.43793179560772744,0.7425888850092888,0.8020911595291761,808.5675892829895
41,0.4388769077988425,0.751781855404377,0.8051903330828951,808.7517735958099
42,0.4348282458395073,0.7568458900749684,0.8000876533934386,809.1975846290588
43,0.4306414604852699,0.7496029450893402,0.804595542198848,808.7673041820526
44,0.4286432068577337,0.7731718975603581,0.7967693463561232,808.4527564048767
45,0.4220210588265121,0.7672704611420631,0.8006824442774856,809.2635130882263
46,0.4207704385736144,0.7566323528885841,0.8031555221637866,808.8584113121033
47,0.420006687468065,0.7516659390330315,0.8032807412972702,808.8106989860535
48,0.41215975705495816,0.74572322717309,0.8064112196343601,807.7996740341187
49,0.4088768770092541,0.7692069033682346,0.7983345855246682,808.3477063179016
50,0.4079697523842153,0.7413069588840008,0.808915602304032,808.7171959877014
